Secteur,Nom,Ville
AVS,Ecole élémentaire Jean Moulin,AUXONNE
AVS,Ecole élémentaire,FLAMMERANS
BEA,Ecole Primaire Blanche Fleurs,BEAUNE
BEA,Ecole élémentaire Champagne St Nicolas,BEAUNE
BEA,Ecole Primaire,BLIGNY-SUR-OUCHE
CHA,Ecole élémentaire Francis Carco,CHATILLON-SUR-SEINE
CHA,Ecole primaire,AIGNAY-LE-DUC
CHE,Ecole élémentaire En St Jacques (REP+),CHENOVE
CHE,Ecole élémentaire Bourdenière (REP+),CHENOVE
CHE,Ecole élémentaire,ROUVRES-EN-PLAINE
DC,Ecole maternelle Mansart,DIJON
DC,Ecole maternelle Lamartine (REP),DIJON
DC,Ecole élémentaire Alain Millot,DIJON
DE,Ecole élémentaire La Fleuriée,ST-APOLLINAIRE
DE,Ecole maternelle Val Sully,ST-APOLLINAIRE
DE,Ecole maternelle Henri Vincenot,VAROIS-ET-CHAIGNOT
DN,Ecole élémentaire,HAUTEVILLE-LES-DIJON
DN,Ecole élémentaire,IS-SUR-TILLE
DN,Ecole élémentaire,BELLENEUVE
DN,Ecole primaire,DAROIS
DO,Ecole maternelle Ouest,DIJON
DO,Ecole élementaire Drapeau,DIJON
DO,Ecole élémentaire Les Champs Perdrix (REP),DIJON
DS,Ecole élémentaire,BRAZEY-EN-PLAINE
DS,Ecole primaire,L'ETANG-VERGY
DS,Ecole élémentaire Marie MAIGNOT,NUITS-SAINT-GEORGES
DS,Ecole élémentaire Henri CHALLAND,NUITS-SAINT-GEORGES
SEM,Ecole primaire,BLAISY-BAS
SEM,Ecole élémentaire J.-C. Marin,SOMBERNON